distance,R,G,B,W,C
3,26,40,30,88,G
3,26,40,30,89,G
3,26,39,31,86,G
3,28,40,31,88,G
3,27,40,31,89,G
3,25,40,31,88,G
3,25,40,31,86,G
3,26,39,31,87,G
3,25,40,31,88,G
3,26,39,31,87,G
3,25,40,30,89,G
3,28,40,30,86,G
3,27,39,31,88,G
3,25,40,31,87,G
3,28,40,31,88,G
3,27,40,30,88,G
3,28,39,30,87,G
3,27,40,31,88,G
3,28,39,30,89,G
3,28,39,30,87,G
3,28,39,30,89,G
3,25,39,31,89,G
3,25,40,31,88,G
3,25,40,31,89,G
3,27,39,30,88,G
3,25,40,30,87,G
3,26,39,31,86,G
3,28,39,30,89,G
3,28,40,31,88,G
3,27,39,30,88,G
3,25,40,31,86,G
3,27,39,31,89,G
3,25,40,30,89,G
3,27,40,31,88,G
3,25,40,31,87,G
3,25,40,30,87,G
3,27,40,31,88,G
3,28,39,31,88,G
3,25,40,30,88,G
3,26,40,31,89,G
3,28,40,30,87,G
3,26,39,31,88,G
3,25,40,30,87,G
3,28,40,30,88,G
3,28,39,31,89,G
3,25,40,31,86,G
3,27,39,30,87,G
3,26,40,30,86,G
3,27,39,30,89,G
3,28,39,30,86,G
3,25,39,30,87,G
3,25,40,31,87,G
3,27,39,31,89,G
3,25,40,31,87,G
3,28,40,30,87,G
3,25,40,31,88,G
3,25,40,30,86,G
3,25,39,31,86,G
3,25,40,31,89,G
3,27,39,31,89,G
3,26,39,30,87,G
3,27,39,31,87,G
3,26,39,30,88,G
3,26,40,30,88,G
3,26,40,30,86,G
3,27,40,30,88,G
3,27,40,31,88,G
3,27,39,30,88,G
3,28,40,30,88,G
3,28,39,31,87,G
3,26,40,31,86,G
3,27,39,31,88,G
3,26,40,30,87,G
3,27,40,30,89,G
3,27,39,30,89,G
3,25,39,30,86,G
3,26,40,31,88,G
3,26,39,30,87,G
3,27,39,30,86,G
3,28,40,31,89,G
3,26,39,30,88,G
3,26,39,30,89,G
3,26,40,30,89,G
3,26,40,31,87,G
3,26,40,31,89,G
3,25,40,31,87,G
3,25,40,31,89,G
3,25,40,30,86,G
3,26,39,31,86,G
3,28,39,30,86,G
3,26,40,30,87,G
3,27,40,30,86,G
3,25,40,31,87,G
3,27,39,31,88,G
3,28,39,31,87,G
3,28,39,30,88,G
3,27,40,30,89,G
3,25,39,31,87,G
3,25,39,30,88,G
3,28,39,30,89,G
3,28,40,30,88,G
3,25,39,31,89,G
3,26,39,31,89,G
3,26,39,30,89,G
3,28,39,31,89,G
3,27,39,31,88,G
3,27,39,30,86,G
3,27,40,30,86,G
3,28,40,30,87,G
3,26,40,30,87,G
3,26,39,31,88,G
3,26,40,30,86,G
3,27,39,31,88,G
3,25,40,31,87,G
3,27,39,31,89,G
3,27,40,30,88,G
3,26,39,31,86,G
3,26,40,30,89,G
3,27,39,30,86,G
3,26,40,31,88,G
3,27,39,30,88,G
3,28,39,31,86,G
3,26,40,31,86,G
3,25,39,30,87,G
3,26,39,30,89,G
3,26,40,31,88,G
3,25,40,31,88,G
3,25,39,30,87,G
3,28,39,30,89,G
3,27,40,30,87,G
3,28,40,30,87,G
3,27,40,31,87,G
3,28,40,31,88,G
3,27,40,30,86,G
3,27,39,30,86,G
3,28,40,31,86,G
3,27,39,31,86,G
3,26,40,31,89,G
3,25,39,31,88,G
3,26,40,31,88,G
3,28,40,31,89,G
3,25,40,30,86,G
3,27,39,31,88,G
3,28,39,30,87,G
3,25,40,31,88,G
3,27,39,31,89,G
3,25,39,30,89,G
3,25,40,30,89,G
3,27,39,31,86,G
3,27,39,31,87,G
3,26,39,31,86,G
3,28,40,30,87,G
3,28,40,31,86,G
3,25,40,31,89,G
3,27,40,30,87,G
3,28,40,30,89,G
3,26,40,31,87,G
3,26,40,31,89,G
3,27,40,30,89,G
3,26,39,31,89,G
3,26,40,31,88,G
3,25,39,30,87,G
3,27,39,31,86,G
3,27,40,31,89,G
3,28,39,31,87,G
3,27,40,30,89,G
3,26,39,30,87,G
3,25,39,31,88,G
3,28,40,31,88,G
3,28,39,30,89,G
3,28,39,31,86,G
3,26,39,30,89,G
3,25,40,31,88,G
3,25,40,30,87,G
3,25,39,30,89,G
3,28,39,30,86,G
3,28,39,30,89,G
3,28,40,31,88,G
3,26,39,30,89,G
3,27,40,31,87,G
3,27,39,30,87,G
3,28,39,30,88,G
3,26,40,30,87,G
3,26,39,30,86,G
3,26,40,31,87,G
3,25,39,31,89,G
3,25,39,30,89,G
3,27,39,31,87,G
3,28,39,30,86,G
3,27,40,30,87,G
3,27,40,30,89,G
3,27,39,31,89,G
3,25,39,30,87,G
3,26,39,30,87,G
3,26,40,31,88,G
3,25,40,31,88,G
3,25,40,30,88,G
3,26,40,31,89,G
3,28,40,31,86,G
3,27,40,31,87,G
3,26,40,30,86,G
3,25,39,31,89,G
3,25,39,31,86,G
3,27,39,31,89,G
3,26,40,30,86,G
3,25,39,30,88,G
3,26,40,30,87,G
3,27,40,31,88,G
3,27,40,30,88,G
3,27,39,30,89,G
3,27,40,31,87,G
3,27,40,31,89,G
3,25,39,30,87,G
3,26,40,31,86,G
3,25,40,31,86,G
3,27,40,31,87,G
3,28,40,31,89,G
3,28,39,31,87,G
3,27,40,30,86,G
3,26,40,30,88,G
3,28,40,30,88,G
3,27,39,30,88,G
3,27,39,31,89,G
3,28,39,31,87,G
3,27,39,31,87,G
3,25,39,30,86,G
3,28,40,30,89,G
3,28,40,30,86,G
3,25,39,31,89,G
3,25,40,30,89,G
3,28,40,31,89,G
3,25,39,30,88,G
3,27,40,31,86,G
3,25,40,31,89,G
3,27,40,31,86,G
3,26,39,31,86,G
3,27,39,30,87,G
3,27,40,30,86,G
3,26,39,31,87,G
3,25,39,30,89,G
3,25,40,30,87,G
3,25,39,31,87,G
3,26,39,31,88,G
3,25,39,30,86,G
3,25,39,30,86,G
3,26,40,30,88,G
3,25,39,30,86,G
3,27,39,31,89,G
3,26,40,30,86,G
3,25,40,30,86,G
3,26,40,31,86,G
3,25,40,31,87,G
3,28,39,31,87,G
3,28,39,30,87,G
3,26,40,31,87,G
3,28,40,31,88,G
3,26,40,30,88,G
3,26,39,30,87,G
3,28,39,30,86,G
3,28,39,31,87,G
3,27,40,30,89,G
3,28,40,31,86,G
3,27,39,30,88,G
3,28,40,31,86,G
3,25,39,30,89,G
3,26,39,30,88,G
3,28,39,31,89,G
3,26,40,30,89,G
3,27,39,31,86,G
3,28,40,30,87,G
3,25,39,30,88,G
3,27,40,30,86,G
3,26,39,31,88,G
3,25,39,30,89,G
3,26,39,30,87,G
3,27,39,30,88,G
3,25,39,30,88,G
3,26,39,30,88,G
3,28,39,31,86,G
3,26,40,30,89,G
3,26,39,30,89,G
3,27,40,30,87,G
3,25,39,31,86,G
3,26,40,31,86,G
3,26,40,31,88,G
3,26,39,31,88,G
3,28,39,31,86,G
3,26,40,31,86,G
3,25,40,30,86,G
3,28,39,30,87,G
3,26,39,30,89,G
3,27,39,31,86,G
3,26,39,31,88,G
3,26,39,31,89,G
3,28,39,31,86,G
3,28,40,30,86,G
3,25,40,31,88,G
3,27,39,31,89,G
3,27,39,30,87,G
3,26,39,31,87,G
3,26,39,31,88,G
3,27,40,31,89,G
3,27,39,31,87,G
3,25,39,30,88,G
3,27,39,30,88,G
3,27,40,30,86,G
3,26,39,30,89,G
3,26,40,31,89,G
3,28,40,30,87,G
3,28,39,31,87,G
3,25,40,30,89,G
3,28,39,30,89,G
3,25,39,30,86,G
3,27,39,30,89,G
3,25,39,31,88,G
3,26,39,30,89,G
3,27,40,31,87,G
3,27,39,30,89,G
3,28,40,31,88,G
3,27,40,30,88,G
3,26,39,31,89,G
3,28,39,31,87,G
3,28,39,31,88,G
3,27,39,30,88,G
3,28,40,31,86,G
3,25,40,31,86,G
3,25,40,30,86,G
3,27,40,31,87,G
3,28,40,30,89,G
3,25,39,30,87,G
3,26,39,31,86,G
3,25,39,31,87,G
3,28,40,31,86,G
3,26,39,30,86,G
3,26,39,30,86,G
3,27,39,31,87,G
3,26,40,30,87,G
3,27,39,30,89,G
3,28,40,30,89,G
3,28,40,30,87,G
3,25,40,30,88,G
3,25,40,31,86,G
3,27,39,31,89,G
3,25,40,30,86,G
3,26,40,30,88,G
3,27,39,30,89,G
3,25,39,30,86,G
3,27,39,31,87,G
3,26,40,31,86,G
3,26,40,31,88,G
3,25,40,31,86,G
3,27,39,31,87,G
3,28,40,31,88,G
3,27,40,31,88,G
3,26,39,30,87,G
3,25,40,30,87,G
3,25,39,31,89,G
3,26,40,31,86,G
3,25,39,30,89,G
3,26,39,30,86,G
3,26,39,31,87,G
3,27,39,30,89,G
3,26,40,31,88,G
3,28,39,30,86,G
3,27,40,30,86,G
3,28,39,31,89,G
3,28,40,31,89,G
3,25,39,30,89,G
3,25,40,31,87,G
3,26,39,30,86,G
3,26,40,31,86,G
3,25,40,31,86,G
3,28,39,31,86,G
3,25,39,30,87,G
3,27,40,31,88,G
3,28,40,30,86,G
3,25,39,30,86,G
3,25,40,30,86,G
3,27,40,31,86,G
3,27,40,30,86,G
3,26,39,30,88,G
3,25,39,31,88,G
3,25,39,31,88,G
3,27,39,31,87,G
3,26,39,31,88,G
3,28,39,30,86,G
3,27,40,31,87,G
3,26,40,31,87,G
3,27,39,30,89,G
3,27,40,31,88,G
3,28,39,30,89,G
3,28,39,30,87,G
3,26,40,30,87,G
3,26,39,31,86,G
3,26,40,31,87,G
3,26,39,30,86,G
3,27,39,31,86,G
3,28,40,31,87,G
3,28,40,31,88,G
3,27,40,31,87,G
3,28,40,31,89,G
3,26,40,30,89,G
3,26,40,31,89,G
3,28,40,31,88,G
3,28,39,31,87,G
3,28,39,31,87,G
3,25,40,30,86,G
3,27,40,30,86,G
3,25,40,30,86,G
3,26,40,30,88,G
3,26,40,31,86,G
3,28,39,30,88,G
3,25,40,30,87,G
3,28,39,30,89,G
3,25,39,30,87,G
3,28,40,31,86,G
3,27,39,30,87,G
3,25,39,30,87,G
3,26,39,31,87,G
3,27,39,31,89,G
3,28,40,31,89,G
3,28,39,30,88,G
3,26,39,31,87,G
3,25,39,31,89,G
3,27,39,30,89,G
3,27,39,30,89,G
3,27,39,31,89,G
3,28,40,30,88,G
3,27,40,31,86,G
3,28,39,31,87,G
3,28,39,30,88,G
3,25,40,30,89,G
3,26,40,31,88,G
3,28,39,30,88,G
3,26,40,31,86,G
3,28,40,30,86,G
3,26,39,31,88,G
3,27,40,30,88,G
3,25,40,31,86,G
3,25,40,31,88,G
3,27,40,31,86,G
3,28,39,30,87,G
3,27,40,31,87,G
3,25,39,30,86,G
3,26,39,30,88,G
3,25,39,30,86,G
3,28,39,30,87,G
3,25,39,30,87,G
3,26,40,30,87,G
3,26,39,31,89,G
3,28,39,30,87,G
3,28,39,31,86,G
3,26,40,31,88,G
3,28,39,31,89,G
3,25,40,30,86,G
3,25,40,31,87,G
3,25,39,31,89,G
3,25,40,30,89,G
3,28,39,30,87,G
3,28,39,30,89,G
3,25,39,30,86,G
3,26,39,30,87,G
3,27,39,31,88,G
3,27,39,30,87,G
3,25,40,30,86,G
3,27,40,31,87,G
3,27,39,31,89,G
3,27,40,31,88,G
3,26,40,31,88,G
3,27,40,31,89,G
3,27,40,31,89,G
3,27,39,31,89,G
3,28,40,31,88,G
3,27,40,31,88,G
3,27,39,31,87,G
3,28,39,30,89,G
3,25,39,30,88,G
3,28,39,30,86,G
3,25,40,30,87,G
3,25,39,31,86,G
3,28,39,30,87,G
3,27,39,31,86,G
3,26,39,31,89,G
3,25,40,30,87,G
3,26,40,31,89,G
3,27,40,31,86,G
3,28,40,31,89,G
3,25,40,31,88,G
3,25,40,30,86,G
3,27,39,30,86,G
3,26,39,31,87,G
3,28,40,30,88,G
3,26,39,31,87,G
3,27,40,30,89,G
3,27,39,30,87,G
3,28,40,31,87,G
3,27,39,31,86,G
3,25,40,30,89,G
3,25,40,30,89,G
3,27,40,31,87,G
3,27,40,30,89,G
3,25,39,30,86,G
3,27,40,31,89,G
3,25,40,30,86,G
3,28,40,30,87,G
3,28,40,30,86,G
3,28,40,31,89,G
3,25,39,31,88,G
3,25,40,30,86,G
3,27,39,30,86,G
3,28,40,30,88,G
3,28,40,31,88,G
3,27,40,30,89,G
3,27,39,31,89,G
3,25,40,31,87,G
3,26,40,30,87,G
3,26,40,30,89,G
3,28,40,30,89,G
3,25,39,31,86,G
3,28,40,31,89,G
3,27,40,30,88,G
3,25,40,31,87,G
3,26,39,30,87,G
3,28,39,31,87,G
3,25,39,31,88,G
3,27,40,30,86,G
3,28,39,31,86,G
3,28,39,30,87,G
3,25,40,30,86,G
3,25,39,31,89,G
3,25,39,31,86,G
3,25,40,31,89,G
3,25,39,30,89,G
3,27,39,30,87,G
3,26,40,31,88,G
3,27,39,31,89,G
3,25,40,31,87,G
3,28,39,31,89,G
3,25,39,31,86,G
3,26,40,30,87,G
3,27,39,30,86,G
3,26,40,30,88,G
3,27,40,31,86,G
3,27,40,30,86,G
3,27,39,31,89,G
3,27,39,31,88,G
3,26,39,30,89,G
3,26,40,30,86,G
3,25,40,30,87,G
3,25,39,30,89,G
3,28,39,31,87,G
3,26,39,30,87,G
3,28,40,31,87,G
3,27,39,30,87,G
3,26,40,30,87,G
3,28,39,31,87,G
3,28,40,30,86,G
3,28,39,31,86,G
3,27,39,31,89,G
3,25,39,30,88,G
3,27,40,30,88,G
3,27,40,31,89,G
3,25,39,31,89,G
3,26,40,30,88,G
3,27,39,30,88,G
3,25,39,30,87,G
3,25,39,30,86,G
3,28,40,30,88,G
3,26,39,31,89,G
3,27,40,30,89,G
3,25,39,31,86,G
3,25,39,31,86,G
3,28,39,31,87,G
3,27,39,30,89,G
3,27,39,31,89,G
3,28,39,30,86,G
3,27,40,31,88,G
3,28,39,30,86,G
3,27,40,30,87,G
3,28,40,30,87,G
3,26,40,30,87,G
3,26,40,31,86,G
3,28,40,30,86,G
3,26,39,31,87,G
3,26,39,31,87,G
3,26,39,31,89,G
3,28,39,31,89,G
3,28,40,31,87,G
3,26,39,31,89,G
3,27,40,30,87,G
3,27,39,30,88,G
3,28,39,30,86,G
3,27,40,31,86,G
3,28,39,30,87,G
3,28,40,30,88,G
3,27,39,30,87,G
3,25,39,30,86,G
3,27,39,30,87,G
3,25,39,31,89,G
3,26,40,30,89,G
3,26,39,31,86,G
3,28,40,31,89,G
3,25,39,30,89,G
3,27,40,31,87,G
3,26,39,31,86,G
3,27,40,30,86,G
3,26,40,31,89,G
3,26,39,30,86,G
3,28,40,30,89,G
3,27,39,31,89,G
3,25,40,30,89,G
3,28,40,31,88,G
3,28,40,30,88,G
3,25,40,31,86,G
3,25,40,31,86,G
3,26,40,30,88,G
3,28,40,31,88,G
3,27,39,31,88,G
3,26,39,31,87,G
3,27,40,31,86,G
3,26,40,30,87,G
3,27,39,30,89,G
3,27,39,31,86,G
3,26,40,31,87,G
3,27,40,31,88,G
3,27,40,31,88,G
3,28,39,30,89,G
3,28,40,31,89,G
3,27,39,30,86,G
3,27,40,31,87,G
3,26,39,30,87,G
3,28,40,30,88,G
3,26,39,30,88,G
3,25,40,31,89,G
3,25,40,30,87,G
3,27,40,31,87,G
3,26,40,31,89,G
3,27,40,30,87,G
3,28,40,30,87,G
3,28,39,31,89,G
3,26,39,30,87,G
3,25,39,31,88,G
3,28,39,31,87,G
3,25,39,31,87,G
3,26,39,31,87,G
3,28,40,31,86,G
3,25,40,31,86,G
3,25,40,31,89,G
3,28,40,30,89,G
3,26,39,31,86,G
3,26,40,30,87,G
3,25,39,30,87,G
3,27,39,31,86,G
3,25,40,30,89,G
3,26,39,30,89,G
3,26,39,31,87,G
3,26,40,31,88,G
3,26,40,30,89,G
3,27,39,31,86,G
3,26,40,31,88,G
3,27,39,30,87,G
3,26,40,30,88,G
3,25,40,30,86,G
3,25,40,30,86,G
3,28,40,30,88,G
3,26,39,31,89,G
3,27,40,31,89,G
3,25,40,31,88,G
3,28,39,30,86,G
3,28,40,31,89,G
3,27,40,31,88,G
3,25,40,31,88,G
3,27,40,30,89,G
3,26,40,31,87,G
3,25,39,31,86,G
3,26,40,31,86,G
3,28,39,30,86,G
3,26,39,30,88,G
3,25,39,31,89,G
3,27,39,30,88,G
3,27,40,30,89,G
3,26,40,31,87,G
3,25,39,30,88,G
3,25,39,30,89,G
3,27,40,31,88,G
3,27,39,31,89,G
3,25,39,31,87,G
3,27,40,31,88,G
3,26,39,31,89,G
3,28,40,30,87,G
3,28,39,30,86,G
3,27,39,30,89,G
3,26,40,30,89,G
3,28,40,31,89,G
3,25,40,31,89,G
3,25,39,30,86,G
3,28,40,31,87,G
3,26,40,30,87,G
3,27,39,31,89,G
3,26,39,31,86,G
3,26,40,30,86,G
3,28,39,30,86,G
3,28,40,30,88,G
3,25,40,31,86,G
3,26,39,30,89,G
3,27,39,31,88,G
3,25,39,30,87,G
3,28,39,31,87,G
3,26,40,31,88,G
3,28,39,31,89,G
3,26,40,30,86,G
3,27,39,30,88,G
3,28,40,31,87,G
3,26,39,31,89,G
3,27,40,31,87,G
3,26,39,31,89,G
3,26,40,31,89,G
3,28,40,30,87,G
3,27,40,30,88,G
3,26,40,30,86,G
3,27,40,31,88,G
3,28,40,30,88,G
3,27,39,30,89,G
3,26,39,30,86,G
3,28,40,31,86,G
3,27,39,31,89,G
3,27,39,31,86,G
3,25,40,31,89,G
3,25,40,30,86,G
3,28,39,31,88,G
3,28,40,31,88,G
3,25,39,30,89,G
3,26,40,30,88,G
3,25,40,30,86,G
3,25,39,30,89,G
3,26,39,30,88,G
3,28,40,31,86,G
3,28,40,31,89,G
3,27,40,30,89,G
3,25,39,30,86,G
3,26,40,30,86,G
3,28,39,30,86,G
3,28,40,30,86,G
3,27,39,30,88,G
3,27,39,30,88,G
3,26,39,31,87,G
3,26,40,31,86,G
3,27,39,31,88,G
3,26,40,30,89,G
3,25,40,31,87,G
3,26,40,30,87,G
3,25,40,31,86,G
3,26,40,31,86,G
3,26,39,30,89,G
3,27,40,30,88,G
3,25,40,31,87,G
3,28,40,30,88,G
3,27,40,31,86,G
3,28,39,30,87,G
3,27,40,30,87,G
3,28,39,31,87,G
3,26,39,31,87,G
3,27,40,31,89,G
3,28,40,31,86,G
3,26,40,31,89,G
3,27,39,31,89,G
3,28,39,31,89,G
3,27,39,30,86,G
3,25,40,30,89,G
3,27,39,30,89,G
3,27,40,30,86,G
3,26,40,30,86,G
3,27,39,30,86,G
3,27,40,30,88,G
3,28,40,31,89,G
3,28,39,31,86,G
3,26,40,30,89,G
3,26,40,31,86,G
3,26,40,30,87,G
3,26,40,30,86,G
3,27,39,30,88,G
3,26,40,30,89,G
3,27,40,30,88,G
3,28,39,31,86,G
3,26,40,31,86,G
3,25,40,31,87,G
3,27,39,30,86,G
3,28,39,31,87,G
3,26,40,31,86,G
3,28,39,31,87,G
3,25,39,31,89,G
3,25,39,31,86,G
3,26,40,31,89,G
3,28,39,30,86,G
3,27,40,31,86,G
3,27,40,31,86,G
3,28,40,30,86,G
3,28,40,30,88,G
3,28,40,31,87,G
3,26,39,31,87,G
3,28,40,31,89,G
3,26,40,30,88,G
3,25,40,31,88,G
3,26,39,30,89,G
3,25,40,31,87,G
3,25,40,31,89,G
3,28,39,30,86,G
3,28,39,31,88,G
3,27,39,31,89,G
3,25,39,30,86,G
3,25,39,31,86,G
3,27,40,30,86,G
3,28,39,30,86,G
3,28,39,30,86,G
3,25,39,30,87,G
3,28,39,30,86,G
3,26,40,30,87,G
3,26,40,31,86,G
3,26,39,30,86,G
3,27,39,31,88,G
3,25,40,31,88,G
3,26,39,31,86,G
3,26,39,30,86,G
3,27,40,31,89,G
3,28,40,30,87,G
3,25,40,30,89,G
3,27,39,31,87,G
3,27,40,31,87,G
3,25,40,30,86,G
3,27,40,30,86,G
3,25,39,30,87,G
3,25,40,30,86,G
3,26,40,31,87,G
3,28,40,31,86,G
15,4,3,3,7,R
15,5,2,3,7,R
15,4,2,3,7,R
15,5,2,2,7,R
15,5,3,3,9,R
15,5,2,3,6,R
15,5,2,2,10,R
15,5,3,3,10,R
15,3,2,2,9,R
15,4,2,3,9,R
15,4,3,2,8,R
15,3,2,3,8,R
15,4,3,3,9,R
15,4,3,2,8,R
15,3,3,2,7,R
15,4,3,2,6,R
15,3,3,3,9,R
15,5,3,3,6,R
15,3,2,2,9,R
15,5,2,3,9,R
15,3,3,3,6,R
15,3,3,2,6,R
15,4,3,2,10,R
15,4,3,2,8,R
15,4,3,3,10,R
15,3,3,2,7,R
15,5,3,3,6,R
15,4,3,3,10,R
15,3,2,2,9,R
15,3,2,3,10,R
15,5,2,3,7,R
15,3,2,3,7,R
15,3,2,3,9,R
15,4,3,2,7,R
15,4,2,2,6,R
15,5,3,2,10,R
15,3,2,2,8,R
15,5,3,2,8,R
15,4,3,3,10,R
15,5,3,2,6,R
15,3,2,3,6,R
15,4,3,3,7,R
15,3,3,2,9,R
15,5,2,3,7,R
15,3,2,2,6,R
15,5,3,2,10,R
15,5,3,2,10,R
15,3,2,2,7,R
15,3,2,3,8,R
15,4,3,2,7,R
15,5,3,3,6,R
15,3,3,2,10,R
15,4,3,3,7,R
15,5,3,2,7,R
15,4,3,3,6,R
15,4,3,2,7,R
15,4,3,3,6,R
15,4,3,3,9,R
15,3,2,3,6,R
15,4,2,3,8,R
15,5,2,2,8,R
15,3,3,3,10,R
15,4,2,3,6,R
15,5,3,3,9,R
15,4,3,3,7,R
15,3,2,3,10,R
15,5,3,3,8,R
15,4,3,3,8,R
15,5,2,3,7,R
15,5,2,3,8,R
15,3,3,3,9,R
15,3,3,3,8,R
15,4,2,2,9,R
15,5,3,3,9,R
15,4,3,2,10,R
15,5,2,2,6,R
15,5,3,2,9,R
15,4,2,2,7,R
15,5,3,3,8,R
15,5,3,2,9,R
15,5,2,3,8,R
15,4,2,2,9,R
15,4,3,3,9,R
15,4,2,3,9,R
15,3,3,3,7,R
15,5,2,3,7,R
15,4,3,3,10,R
15,3,3,3,6,R
15,3,2,2,6,R
15,3,3,2,10,R
15,5,2,3,10,R
15,3,2,2,8,R
15,4,2,3,7,R
15,3,3,3,7,R
15,4,3,3,6,R
15,5,3,3,8,R
15,5,2,3,8,R
15,5,3,3,8,R
15,3,3,2,9,R
15,5,2,3,8,R
15,4,3,2,6,R
15,5,2,2,9,R
15,4,2,2,9,R
15,4,3,3,9,R
15,4,3,2,10,R
15,3,3,3,6,R
15,4,3,2,8,R
15,5,2,2,10,R
15,5,2,3,6,R
15,5,2,2,8,R
15,5,3,3,9,R
15,3,2,2,6,R
15,5,3,2,8,R
15,4,3,2,8,R
15,3,2,3,9,R
15,4,2,3,10,R
15,3,2,3,8,R
15,5,2,2,7,R
15,5,2,3,6,R
15,4,2,3,7,R
15,3,2,3,8,R
15,3,2,2,10,R
15,4,2,2,9,R
15,3,3,3,6,R
15,5,2,3,7,R
15,3,3,2,10,R
15,4,2,2,10,R
15,4,2,2,10,R
15,3,3,3,10,R
15,4,2,3,9,R
15,3,3,2,9,R
15,4,3,2,7,R
15,3,2,3,8,R
15,5,3,3,10,R
15,4,2,3,9,R
15,3,3,2,8,R
15,5,2,2,7,R
15,5,3,2,8,R
15,4,3,3,9,R
15,3,2,2,6,R
15,3,3,3,10,R
15,5,2,2,9,R
15,3,2,2,8,R
15,5,3,2,8,R
15,4,3,3,7,R
15,3,2,3,6,R
15,5,2,3,7,R
15,5,2,3,9,R
15,5,2,3,7,R
15,5,3,3,6,R
15,3,3,2,9,R
15,4,3,3,10,R
15,3,2,3,10,R
15,5,3,3,7,R
15,5,3,2,8,R
15,5,2,2,8,R
15,3,2,2,7,R
15,3,2,3,7,R
15,3,2,3,8,R
15,5,2,3,10,R
15,4,2,2,7,R
15,3,3,2,8,R
15,3,2,2,9,R
15,4,2,2,6,R
15,5,3,2,8,R
15,3,2,3,10,R
15,3,2,3,7,R
15,4,3,2,6,R
15,4,2,3,9,R
15,5,3,2,10,R
15,3,3,2,9,R
15,5,2,3,6,R
15,3,3,2,9,R
15,4,3,3,8,R
15,4,2,3,7,R
15,4,2,2,10,R
15,4,3,3,6,R
15,5,2,3,6,R
15,4,2,3,10,R
15,3,3,3,6,R
15,3,2,3,7,R
15,3,2,2,8,R
15,3,2,2,6,R
15,3,3,3,9,R
15,4,2,3,7,R
15,5,3,3,8,R
15,4,3,2,8,R
15,4,2,2,9,R
15,3,3,3,7,R
15,5,3,2,6,R
15,4,2,3,8,R
15,5,2,2,9,R
15,3,2,2,8,R
15,5,2,3,9,R
15,3,3,2,9,R
15,5,3,3,8,R
15,3,2,3,8,R
15,4,3,3,6,R
15,3,3,2,6,R
15,5,2,2,10,R
15,4,3,3,10,R
15,4,3,2,7,R
15,5,3,3,9,R
15,4,2,3,9,R
15,3,3,2,6,R
15,4,3,2,8,R
15,4,2,2,8,R
15,3,3,2,9,R
15,5,3,2,10,R
15,5,3,3,8,R
15,3,3,3,9,R
15,4,3,2,10,R
15,4,3,3,7,R
15,4,2,3,8,R
15,5,2,3,8,R
15,3,3,2,9,R
15,5,3,2,7,R
15,5,3,2,7,R
15,4,2,3,7,R
15,4,3,2,8,R
15,5,3,3,7,R
15,4,2,3,9,R
15,5,3,3,9,R
15,4,3,2,8,R
15,5,2,2,6,R
15,3,2,3,7,R
15,4,2,2,7,R
15,5,2,2,10,R
15,4,2,2,9,R
15,5,2,2,8,R
15,4,3,2,6,R
15,4,3,2,9,R
15,5,2,3,7,R
15,4,3,2,10,R
15,5,3,3,8,R
15,5,3,2,8,R
15,4,2,2,7,R
15,5,3,3,9,R
15,3,3,3,8,R
15,4,3,3,8,R
15,4,3,3,7,R
15,3,2,3,6,R
15,3,2,3,7,R
15,3,2,2,10,R
15,3,3,3,6,R
15,4,3,2,6,R
15,3,3,3,10,R
15,5,3,2,9,R
15,5,2,2,6,R
15,4,2,2,9,R
15,4,3,2,7,R
15,3,3,3,7,R
15,3,3,2,6,R
15,3,3,2,8,R
15,4,3,2,8,R
15,5,3,2,7,R
15,4,2,3,10,R
15,5,2,2,10,R
15,3,3,2,7,R
15,3,3,3,8,R
15,3,3,3,10,R
15,5,2,2,6,R
15,3,3,3,6,R
15,3,3,3,9,R
15,5,3,2,10,R
15,4,3,2,8,R
15,5,3,3,8,R
15,4,2,2,7,R
15,3,3,2,6,R
15,5,2,3,10,R
15,4,3,3,10,R
15,5,2,3,8,R
15,3,2,2,8,R
15,3,3,2,7,R
15,3,2,3,8,R
15,5,3,2,7,R
15,5,2,2,9,R
15,3,2,3,9,R
15,5,3,3,8,R
15,5,3,3,8,R
15,4,2,2,8,R
15,3,2,3,9,R
15,3,2,2,8,R
15,3,2,3,6,R
15,5,3,3,9,R
15,5,3,3,10,R
15,4,2,3,8,R
15,5,2,2,9,R
15,3,2,2,9,R
15,4,3,2,10,R
15,5,3,3,8,R
15,5,3,2,9,R
15,4,2,2,8,R
15,4,2,3,10,R
15,4,3,2,6,R
15,5,2,3,10,R
15,3,2,2,9,R
15,3,3,2,8,R
15,4,2,2,6,R
15,4,2,3,6,R
15,5,2,3,7,R
15,5,2,2,10,R
15,3,3,3,10,R
15,3,2,2,9,R
15,3,2,2,8,R
15,4,3,3,6,R
15,4,2,2,10,R
15,3,3,3,7,R
15,3,2,2,7,R
15,3,2,3,8,R
15,4,2,2,8,R
15,4,3,2,6,R
15,4,3,3,7,R
15,5,2,3,6,R
15,4,3,2,6,R
15,5,2,3,6,R
15,3,2,2,10,R
15,5,3,3,9,R
15,3,3,3,7,R
15,5,2,2,8,R
15,3,2,2,7,R
15,4,2,3,6,R
15,3,3,3,7,R
15,3,2,3,9,R
15,3,2,2,10,R
15,4,3,3,6,R
15,5,3,2,9,R
15,3,2,3,7,R
15,3,3,3,7,R
15,4,3,3,10,R
15,3,2,3,10,R
